movie_title,tomatoUserRating,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserReviews,imdbVotes,Metascore
Pan,3,4.6,171,47,124,41,50786,43244,36
Mr. Peabody  Sherman,3.8,6.6,122,97,25,73,72935,48687,59
Troy,3.5,6,223,120,103,73,824000,387949,56
Madagascar 3 Europes Most Wanted,,,,,,,,,
Die Another Day,3.1,6.1,215,124,91,41,429779,171118,56
Ghostbusters,3.6,8.1,69,67,2,88,1037061,277861,67
Armageddon,3.5,5.2,115,45,70,73,908651,327199,42
Men in Black II,3.1,5.3,194,75,119,45,925142,273188,49
Beowulf,3.1,6.5,194,137,57,50,338839,143582,59
Kung Fu Panda 3,3.9,6.8,149,129,20,80,98197,72740,66
Mission Impossible  Ghost Protocol,3.9,7.7,231,216,15,76,471836,370947,73
Rise of the Guardians,4,6.5,147,108,39,80,123493,125036,57
Fun with Dick and Jane,3.1,4.9,132,38,94,49,759199,112106,47
The Last Samurai,3.7,6.4,218,143,75,83,390978,321012,55
Exodus Gods and Kings,2.8,4.9,183,49,134,35,59745,131584,52
Star Trek,4.1,8.2,333,316,17,91,745344,512123,82
SpiderMan,4,N/A,N/A,N/A,N/A,88,3240,90,N/A
How to Train Your Dragon 2,4.3,7.8,165,151,14,90,186919,226525,76
Gods of Egypt,2.8,3.5,160,25,135,38,30653,60425,25
Stealth,2.9,3.8,138,18,120,40,76607,45746,35
Watchmen,3.4,6.3,295,191,104,71,1055312,397885,56
Lethal Weapon 4,3.3,5.8,66,34,32,64,254286,129052,37
Hulk,2.5,6.2,227,139,88,29,428270,214328,54
G.I. Joe Retaliation,3.2,4.5,164,47,117,48,198898,147499,41
Sahara,3,5.2,172,67,105,54,213376,78212,41
Final Fantasy The Spirits Within,3,5.3,144,63,81,48,141486,73303,49
Captain America The First Avenger,3.7,6.9,245,195,50,74,183784,521120,66
The World Is Not Enough,3,5.7,136,70,66,49,209852,158590,57
Master and Commander The Far Side of the World,3.4,7.6,211,179,32,80,140422,170376,81
The Twilight Saga Breaking Dawn  Part 2,3.8,5.2,181,88,93,70,292347,187898,52
Happy Feet 2,3.6,5.5,112,51,61,61,90722,32930,50
The Incredible Hulk,3.6,6.2,222,149,73,71,735579,331991,61
Miami Vice,2.8,5.5,195,92,103,43,360041,93783,65
The BFG,3.5,6.8,249,187,62,61,33109,23841,66
The Revenant,4.1,7.9,317,259,58,84,101656,445469,76
Turbo,3.7,6.1,106,71,35,66,89230,63550,58
Rango,3.6,7.6,214,187,27,69,119223,185865,75
Penguins of Madagascar,3.6,6.2,103,75,28,63,65028,61690,53
The Bourne Ultimatum,4.1,8,258,240,18,91,1921607,500662,85
Kung Fu Panda,3.9,7.2,179,156,23,82,583726,313328,73
AntMan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110,N/A
The Hunger Games Catching Fire,4.3,7.5,259,230,29,89,422747,506797,76
The Twilight Saga Breaking Dawn  Part 2,3.8,5.2,181,88,93,70,292347,187898,52
Home,3.7,5.3,116,55,61,64,55539,72932,55
War of the Worlds,2.9,7,251,186,65,42,32518039,339185,73
Bad Boys II,3.6,4.1,177,40,137,78,501094,179672,38
Puss in Boots,3.6,6.8,143,120,23,67,78478,115815,65
Salt,3.4,6,231,143,88,59,200339,249073,65
Noah,2.9,6.7,224,171,53,41,121593,203418,68
The Adventures of Tintin,3.7,7,205,153,52,74,76769,178732,68
Harry Potter and the Prisoner of Azkaban,3.8,7.9,250,227,23,86,1165204,390407,82
Australia,3.4,5.9,209,115,94,65,261274,103371,53
After Earth,2.8,3.9,191,21,170,36,121334,160799,33
Dinosaur,3,6.2,122,79,43,47,70839,39115,56
Harry Potter and the Deathly Hallows Part II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,385,N/A
Night at the Museum Secret of the Tomb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Megamind,3.8,6.7,175,127,48,72,207608,175190,63
Harry Potter and the Sorcerers Stone,,,,,,,,,
R.I.P.D.,3,3.6,93,12,81,38,82006,93497,25
Godzilla Resurgence,3.9,6.7,34,29,5,80,3888,1363,N/A
Pirates of the Caribbean The Curse of the Black Pearl,3.9,7.1,209,165,44,86,33123343,824667,63
Harry Potter and the Deathly Hallows Part I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,231,N/A
The Hunger Games Mockingjay  Part 1,3.8,6.3,252,164,88,72,245995,312549,64
The Da Vinci Code,3.2,4.8,221,55,166,57,760505,323205,46
Rio 2,3.6,5.4,106,49,57,59,105341,59953,49
XMen 2,,,,,,,,,
Fast Five,4,6.4,193,149,44,83,138468,289017,67
Sherlock Holmes A Game of Shadows,3.9,6,205,122,83,77,167560,344693,48
Clash of the Titans,3.1,4.3,239,67,172,39,283773,232323,39
Total Recall,3.3,7.3,67,55,12,78,243518,242657,57
The 13th Warrior,3.2,4.6,87,29,58,65,117649,102247,42
The Bourne Legacy,3.5,5.9,219,122,97,58,281560,235589,61
Batman  Robin,2.5,3.7,85,9,76,16,553150,192598,28
How the Grinch Stole Christmas,3.2,5.7,130,69,61,55,947735,143249,46
The Day After Tomorrow,3.2,5.3,213,96,117,50,32748879,339055,47
Mission Impossible II,N/A,N/A,N/A,N/A,N/A,N/A,63,246743,59
The Perfect Storm,N/A,N/A,N/A,N/A,N/A,N/A,41,134226,59
Fantastic 4 Rise of the Silver Surfer,3.1,4.8,167,62,105,51,1339143,215015,45
Life of Pi,4.1,7.9,232,201,31,84,167990,449565,79
Ghost Rider,3.1,4.2,135,35,100,48,730323,185290,35
Jason Bourne,3.4,5.9,257,145,112,60,52062,89425,58
Charlies Angels Full Throttle,,,,,,,,,
Prometheus,3.6,6.9,273,198,75,68,260250,460994,65
Stuart Little 2,2.7,7,122,99,23,41,179539,37365,66
Elysium,3.4,6.5,233,157,76,58,162158,344845,61
The Chronicles of Riddick,3.3,4.6,162,47,115,65,329183,186095,38
RoboCop,3.3,5.6,195,95,100,50,126795,185266,52
Speed Racer,3.2,5.1,208,81,127,60,400994,58336,37
How Do You Know,2.5,4.9,147,47,100,25,41788,35369,46
Knight and Day,3.2,5.6,221,116,105,49,198364,149698,46
Oblivion,3.5,5.9,234,123,111,61,162323,394404,54
Star Wars Episode III  Revenge of the Sith,3.1,7.3,284,223,61,65,33677043,527565,68
Star Wars Episode II  Attack of the Clones,3.3,6.7,244,159,85,58,846735,472055,54
Monsters Inc.,3.8,8,192,184,8,90,1252694,594306,78
The Wolverine,3.7,6.3,239,166,73,69,251680,334223,60
Star Wars Episode I  The Phantom Menace,2.3,N/A,N/A,N/A,N/A,26,185,544435,51
The Croods,3.9,6.5,135,95,40,78,193005,153507,55
Asterix at the Olympic Games,2.3,N/A,N/A,N/A,N/A,18,9686,20950,N/A
Windtalkers,3.2,5.1,166,53,113,50,66742,56672,51
The Huntsman Winters War,,,,,,,,,
Teenage Mutant Ninja Turtles,3.3,4.2,134,30,104,51,131509,172217,31
Gravity,4,9,315,303,12,80,300383,590779,96
Dantes Peak,,,,,,,,,
Teenage Mutant Ninja Turtles Out of the Shadows,3.2,4.7,142,54,88,49,52460,46188,40
Fantastic Four,3.1,4.5,204,55,149,45,758497,271405,40
Night at the Museum,3.5,5.3,131,57,74,67,723312,239675,48
San Andreas,3.3,5.2,211,101,110,52,65094,152416,43
Tomorrow Never Dies,3.1,6.2,82,47,35,53,230551,151135,52
The Patriot,3.6,6.1,134,82,52,81,422451,210049,63
Oceans Twelve,,,,,,,,,
Mr.  Mrs. Smith,3.4,6,207,122,85,58,33461181,355809,55
Insurgent,3.5,5,184,52,132,59,76092,160508,42
The Aviator,3.4,7.8,214,187,27,79,206511,269055,77
Gullivers Travels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Green Hornet,3.1,5.2,228,99,129,43,116114,137352,39
The ATeam,,,,,,,,,
300 Rise of an Empire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Smurfs,3.1,4,116,26,90,44,70536,67610,30
Home on the Range,2.8,5.7,125,67,58,28,32078,13914,50
Allegiant,3,4.1,166,21,145,43,40900,53344,33
Real Steel,3.9,5.9,212,126,86,73,210958,257713,56
The Smurfs 2,3.5,4,91,12,79,57,73268,27771,34
Speed 2 Cruise Control,2.2,3.4,68,2,66,16,221880,61292,23
Enders Game,,,,,,,,,
Live Free or Die Hard,3.9,6.8,206,168,38,86,1859063,339743,69
The Lord of the Rings The Fellowship of the Ring,4.1,8.2,225,205,20,95,1352773,1261067,92
Around the World in 80 Days,2.7,4.8,127,40,87,34,262053,69870,49
Ali,3.3,6.3,149,100,49,65,106997,79941,65
The Cat in the Hat,2.5,3.2,158,16,142,30,219345,36492,19
I Robot,N/A,N/A,N/A,N/A,N/A,N/A,45,392678,59
Kingdom of Heaven,3.4,5.5,186,72,114,72,364823,219740,63
Stuart Little,2.9,6.3,97,64,33,41,494990,95164,61
The Princess and the Frog,3.7,7.4,185,156,29,74,260250,91014,73
The Martian,4.3,7.8,311,286,25,91,127533,506335,80
10000 B.C.,2.9,3.2,145,12,133,37,411043,110140,34
The Island,3.3,5.4,194,77,117,64,371594,266193,50
Town  Country,2.4,3.5,91,12,79,15,2668,4123,34
Gone in Sixty Seconds,3.5,4.4,135,33,102,77,954845,220699,35
Gladiator,3.8,7.2,186,142,44,87,34126388,1000080,64
Minority Report,3.4,8.1,245,221,24,80,479879,404745,80
Harry Potter and the Chamber of Secrets,3.7,7.2,230,188,42,80,1148204,395740,63
Casino Royale,3.9,7.9,246,233,13,89,701447,478870,80
Planet of the Apes,2.7,5.5,156,70,86,27,366266,179421,50
Terminator 2 Judgment Day,3.8,8.4,68,63,5,94,746087,759731,75
Public Enemies,3.3,6.4,266,181,85,59,633302,234083,70
American Gangster,4,7,209,167,42,87,962198,328864,76
True Lies,3.2,6.6,47,34,13,76,265135,192579,63
The Taking of Pelham 1 2 3,3,5.4,218,111,107,52,662335,151658,55
Little Fockers,2.9,3.4,146,14,132,34,132857,86299,27
The Other Guys,3.4,6.7,198,155,43,59,159640,192481,64
Eraser,2.8,4.9,45,16,29,39,126514,85619,56
Django Unchained,4.3,8,254,223,31,91,425374,974714,81
The Hunchback of Notre Dame,3.2,7.1,52,38,14,70,125212,104941,N/A
The Emperors New Groove,,,,,,,,,
The Expendables 2,3.7,5.8,126,83,43,67,314819,250141,51
National Treasure,3.5,5.3,169,75,94,76,923276,257423,39
Eragon,N/A,N/A,N/A,N/A,N/A,N/A,55,109137,38
Where the Wild Things Are,3.3,6.9,253,184,69,56,298385,88736,71
Pan,3,4.6,171,47,124,41,50786,43244,36
Epic,3.7,5.9,119,76,43,65,101687,86952,52
The Tourist,3,4.3,167,33,134,42,94539,178814,37
End of Days,2.7,3.7,99,11,88,32,130985,90191,33
Blood Diamond,4,6.3,211,131,80,90,567737,407740,64
The Wolf of Wall Street,4,7.7,255,197,58,82,177774,804969,75
Batman Forever,2.9,5.2,58,23,35,33,607764,193963,51
Starship Troopers,3.1,6.1,59,37,22,69,223448,223638,51
Cloud Atlas,3.6,6.6,256,169,87,66,186488,289355,55
